,batsman,hand
0,Mandeep Singh,rhb
1,TM Head,lhb
2,BB McCullum,rhb
3,AJ Finch,rhb
4,SK Raina,lhb
5,RG Sharma,rhb
6,G Gambhir,lhb
7,DA Miller,lhb
8,WP Saha,rhb
9,SPD Smith,rhb
10,EJG Morgan,lhb
11,YK Pathan,rhb
12,BA Stokes,lhb
13,HH Pandya,rhb
14,DR Smith,rhb
15,KD Karthik,rhb
16,AJ Finch,rhb
17,JC Buttler,rhb
18,BCJ Cutting,rhb
19,KL Rahul,rhb
20,F du Plessis,rhb
21,KH Pandya,lhb
22,KA Pollard,rhb
23,KL Rahul,rhb
24,KK Nair,rhb
25,R Ashwin,rhb
26,JC Buttler,rhb
27,P Shaw,rhb
28,RR Pant,lhb
29,AB de Villiers,rhb
30,V Kohli,rhb
31,AB de Villiers,rhb
32,M Ali,lhb
33,MS Dhoni,rhb
34,DJ Bravo,rhb
35,RV Uthappa,rhb
36,CA Lynn,rhb
37,AD Russell,rhb
38,N Rana,lhb
39,JC Buttler,rhb
40,SS Iyer,rhb
41,HH Pandya,rhb
42,CH Gayle,lhb
43,CH Morris,rhb
44,SK Raina,lhb
45,KM Jadhav,rhb
46,PP Chawla,lhb
47,SK Raina,lhb
48,L Livingstone,rhb
49,MA Agarwal,rhb
50,DA Miller,lhb
51,R Ashwin,rhb
52,S Hetmyer,lhb
53,C Munro,lhb
54,AR Patel,lhb
